dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,no_transform,"Logistic Regression, C=1.0",2,0.9001361007145288,0.927186117727118,0.05410003402517871,0.9416513761467892,0.8730860837019394,0.7589989885871251,0.9356924123851652,0.567428150331614,1.0,0.9416506717850288,0.9750479846449136,0.06679462571976967,0.9314960629921261,0.908253358925144,0.5763473053892215,0.5538922155688623,0.04491017964071853,0.925,0.5988023952095808,0.3501769128704113,0.11721674038788706,0.08506294658046955,0.06430758761483497,0.5694760820045558,0.14937053419530452,4820.0
Adult Sex,no_transform,SVM,2,0.9176590677101056,0.9333106498809118,0.03130316434161273,0.966460080204156,0.9020074855392992,0.7519179491305297,0.9503232391970058,0.5973377703826955,1.0,0.9664107485604606,0.9892514395393474,0.045681381957773486,0.9538222739619712,0.943570057581574,0.5374251497005988,0.4970059880239521,0.08083832335329337,0.8601036269430052,0.5778443113772455,0.3501769128704113,0.09084722694794148,0.06600884654644437,0.04967676080299421,0.5705882352941176,0.1156856073494386,4820.0
Adult Sex,no_transform,Majority,2,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,4820.0
Adult Sex,no_transform,Kamiran & Calders LR,2,0.8982647158897584,0.9149370534195304,0.03334467505954408,0.9635552249907028,0.8815923783599864,0.7696889330743504,0.9959169785641374,0.5740740740740741,1.0,0.936084452975048,0.9443378119001921,0.0165067178502879,0.9825203252032522,0.927831094049904,0.6032934131736527,0.6856287425149701,0.16467065868263475,0.759825327510917,0.5209580838323353,0.3501769128704113,0.12521265736645118,0.12725416808438245,0.004083021435862547,0.9679144385026738,0.1231711466485199,4820.0
Adult Sex,no_transform,Kamiran & Calders SVM,2,0.9195304525348758,0.9268458659407962,0.014630826811840802,0.9842143906020556,0.9122150391289554,0.7692869539232475,0.9738006124532154,0.6188557614826753,1.0,0.9637236084452976,0.9604606525911707,0.00652591170825334,0.9932512901945216,0.9669865642994242,0.5748502994011976,0.6646706586826348,0.17964071856287428,0.7297297297297297,0.4850299401197605,0.3501769128704113,0.0974821367812181,0.1105818305546104,0.026199387546784608,0.7630769230769232,0.0843824430078258,4820.0
Adult Sex,no_transform,"Logistic Regression, C=1.0",3,0.9045593739367132,0.9258251105818306,0.04253147329023477,0.954061006982727,0.8832936372915958,0.7719347293895893,0.9363729159578088,0.5884079236977255,1.0,0.943570057581574,0.9735124760076777,0.05988483685220725,0.9384858044164038,0.9136276391554704,0.6002994011976048,0.5538922155688623,0.09281437125748504,0.8564814814814815,0.6467065868263473,0.3501769128704113,0.11823749574685267,0.08642395372575706,0.06362708404219122,0.5759637188208617,0.1500510377679483,7230.0
Adult Sex,no_transform,SVM,3,0.918849948962232,0.9350119088125212,0.03232391970057846,0.9654294032023292,0.9026879891119428,0.7643353408346455,0.9397754338210276,0.61251015434606,1.0,0.9642994241842612,0.9904030710172744,0.05220729366602683,0.9472868217054264,0.9381957773512476,0.5643712574850299,0.5029940119760479,0.1227544910179641,0.8038277511961722,0.6257485029940121,0.3501769128704113,0.09578087784960873,0.06566859476012249,0.06022456617897243,0.5216216216216216,0.12589316093909492,7230.0
Adult Sex,no_transform,Majority,3,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,7230.0
Adult Sex,no_transform,Kamiran & Calders LR,3,0.9057502551888398,0.915957808778496,0.02041510717931272,0.9777117384843982,0.8955427015991834,0.7869622559104441,0.9993194964273562,0.6042857142857143,1.0,0.9406909788867562,0.946257197696737,0.011132437619961522,0.9882352941176472,0.9351247600767756,0.6332335329341318,0.6796407185628742,0.09281437125748504,0.8634361233480176,0.5868263473053892,0.3501769128704113,0.12453215379380746,0.1248724055801293,0.0006805035726437647,0.994550408719346,0.12419190200748552,7230.0
Adult Sex,no_transform,Kamiran & Calders SVM,3,0.9186798230690713,0.9234433480775774,0.009527050017012595,0.9896831245394252,0.9139162980605648,0.7799001804452516,0.9734603606668936,0.6265624999999999,1.0,0.9595009596928984,0.9547024952015356,0.009596928982725572,0.9900477707006368,0.9642994241842612,0.6002994011976048,0.6796407185628742,0.1586826347305389,0.7665198237885463,0.5209580838323353,0.3501769128704113,0.10411704661449472,0.11738686628104796,0.02653963933310649,0.773913043478261,0.09084722694794148,7230.0
